Building Name,Room Name,Capacity,Features,Technology,Tables/Chairs,Lighting,Video/Audio Equipment,Time Slot,Availability,Catering Allowed,Date
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",9:00 AM - 10:00 AM,Available,No,2025-03-10
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",10:00 AM - 11:00 AM,Available,No,2025-03-11
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",11:00 AM - 12:00 PM,Available,No,2025-03-12
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",12:00 PM - 1:00 PM,Available,No,2025-03-13
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",1:00 PM - 2:00 PM,Available,No,2025-03-14
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",2:00 PM - 3:00 PM,Available,No,2025-03-15
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",9:00 AM - 10:00 AM,Available,No,2025-03-16
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",10:00 AM - 11:00 AM,Available,No,2025-03-17
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",11:00 AM - 12:00 PM,Available,No,2025-03-18
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",12:00 PM - 1:00 PM,Available,No,2025-03-19
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",1:00 PM - 2:00 PM,Available,No,2025-03-20
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",2:00 PM - 3:00 PM,Available,No,2025-03-21
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",9:00 AM - 10:00 AM,Available,No,2025-03-22
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",10:00 AM - 11:00 AM,Available,No,2025-03-23
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",11:00 AM - 12:00 PM,Available,No,2025-03-24
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",12:00 PM - 1:00 PM,Available,No,2025-03-25
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",1:00 PM - 2:00 PM,Available,No,2025-03-26
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",2:00 PM - 3:00 PM,Available,No,2025-03-27
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",9:00 AM - 10:00 AM,Available,No,2025-03-28
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",10:00 AM - 11:00 AM,Available,No,2025-03-29
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",11:00 AM - 12:00 PM,Available,No,2025-03-30
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",12:00 PM - 1:00 PM,Available,No,2025-03-31
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",1:00 PM - 2:00 PM,Available,No,2025-04-01
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",2:00 PM - 3:00 PM,Available,No,2025-04-02
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",9:00 AM - 10:00 AM,Available,No,2025-04-03
